asset_name,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-21,2022-11-22,2022-11-23,2022-11-25,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-30,2023-01-31
APPLE INC,-0.017543,-0.037305,-0.042405,-0.001944,0.003902,0.004175,-0.03319,0.088975,0.019269,-0.009486,0.011869,-0.008331,0.012971,0.003782,-0.02168,0.014661,0.005926,-0.019594,-0.026264,-0.021148,0.048594,0.001892,-0.003371,-0.007983,-0.02537,-0.013785,0.012133,-0.003435,0.01639,0.006782,-0.015536,-0.046854,-0.014579,-0.01591,-0.000529,0.02381,-0.023773,-0.002798,-0.013878,-0.030685,0.028324,0.002469,-0.037405,0.010314,-0.010605,0.036794,0.004089,0.004456,0.021112,-0.000599,0.010119,0.008756,-0.00537,0.000444,0.019221,0.0235,0.010063,-0.004701,0.014803,0.013684,-0.020078,0.009021
MICROSOFT CORP,-0.017059,-0.035368,-0.026579,0.033326,0.02927,0.004388,-0.01905,0.082268,0.016997,-0.0225,0.001739,0.001818,-0.000207,-0.001903,0.003441,0.012312,0.010407,-0.000364,-0.023153,-0.005915,0.061624,-0.001764,0.001296,-0.018901,-0.020304,-0.00306,0.012399,-0.008003,0.028889,0.017465,0.001168,-0.031918,-0.017349,-0.017328,0.005615,0.010877,-0.025529,0.002267,-0.007414,-0.010255,0.02763,-0.004938,-0.001001,-0.043743,-0.029638,0.011785,0.009736,0.007617,0.030238,0.011622,0.003019,0.004682,-0.018889,-0.016454,0.035744,0.009824,-0.002226,-0.005908,0.030714,0.000645,-0.021962,0.021013
AMAZON COM INC,-0.055154,-0.048249,-0.030612,0.018813,-0.004946,-0.006075,-0.042676,0.121778,0.043051,-0.02282,0.004569,-0.018395,-0.023373,-0.007485,-0.017846,0.008003,0.009979,-0.007649,0.005781,-0.016285,0.044579,-0.010773,-0.014346,-0.033146,-0.030326,0.00238,0.021366,-0.013946,0.016388,0.021425,-0.009839,-0.034178,-0.00667,-0.033462,0.00318,0.018547,-0.034344,0.017425,-0.025924,-0.014692,0.028844,-0.002138,0.021667,-0.007924,-0.023726,0.035611,0.01487,0.028732,0.058084,0.001893,0.029915,-0.021097,-0.006143,-0.018647,0.038108,0.002776,-0.012305,0.008929,0.020992,0.030437,-0.01653,0.025659
ALPHABET INC,-0.043947,-0.037901,-0.041116,0.038448,0.022491,0.002933,-0.016984,0.07746,0.027185,-0.007237,0.028012,0.002735,-0.00495,-0.007107,-0.020143,0.015653,0.015309,-0.012346,-0.013832,-0.008416,0.062971,-0.001676,-0.004443,-0.009521,-0.025633,-0.022197,-0.012612,-0.009367,0.005265,0.024476,-0.005634,-0.043123,-0.003728,-0.01882,0.005384,0.006917,-0.02205,0.017562,-0.020933,-0.016718,0.028799,-0.002473,0.010932,-0.011037,-0.021869,0.016019,0.00726,0.004955,0.033841,-0.003794,0.009683,-0.006897,-0.004123,0.023208,0.057182,0.01944,-0.019761,-0.024997,0.025122,0.015631,-0.027405,0.019602
ALPHABET INC,-0.042747,-0.038687,-0.040704,0.037756,0.022061,0.004633,-0.017773,0.075813,0.026293,-0.007364,0.028631,0.004165,-0.004957,-0.009455,-0.018783,0.015167,0.014529,-0.010156,-0.014467,-0.008954,0.060931,0.0,-0.005446,-0.009558,-0.025131,-0.021035,-0.012956,-0.009391,0.005171,0.024863,-0.005856,-0.044283,-0.006604,-0.020164,0.006558,0.006291,-0.020317,0.01675,-0.020621,-0.015677,0.028249,-0.002487,0.010087,-0.01167,-0.021344,0.013225,0.007786,0.004544,0.03506,-0.004261,0.010864,-0.00901,-0.001862,0.021181,0.053412,0.018058,-0.020944,-0.025384,0.024155,0.018971,-0.024454,0.0196
TESLA INC,0.001231,-0.05636,0.001535,-0.036413,-0.05008,-0.029328,-0.071668,0.073934,0.027527,-0.025616,0.018172,-0.038576,-0.020062,-0.016269,-0.068372,0.012152,0.078218,-0.001856,0.000328,-0.011426,0.076702,0.0,0.000822,-0.063687,-0.014415,-0.032143,-0.003447,0.032346,-0.06272,-0.040937,-0.025784,0.005548,-0.047187,-0.002396,-0.080536,-0.001669,-0.088828,-0.017551,-0.114089,0.033089,0.080827,0.011164,-0.122422,0.051249,-0.029039,0.024651,0.059349,-0.007681,0.036769,0.002759,-0.009388,0.074265,-0.02061,-0.012502,0.049147,0.077425,0.000974,0.003753,0.109673,0.110002,-0.063182,0.039362
NVIDIA CORP,0.003408,-0.023924,0.015281,0.054765,0.010243,0.021048,-0.056568,0.143293,0.036635,-0.00196,0.022768,-0.045362,-0.014645,-0.017095,-0.005971,0.047072,0.029991,-0.015074,-0.027228,-0.011879,0.082358,0.012527,-0.015115,-0.015762,-0.037508,0.008319,0.065075,-0.009785,0.03141,0.030624,-0.022023,-0.040851,-0.022475,-0.01913,-0.010397,0.025863,-0.07042,-0.008671,-0.071353,-0.006019,0.040396,0.000753,-0.02046,0.030318,-0.032816,0.04164,0.051753,0.017981,0.005783,0.031873,0.0235,0.047518,-0.01836,-0.035219,0.064062,0.075901,0.003751,0.003011,0.024789,0.028431,-0.059072,0.01957
EXXON MOBIL CORP,0.009927,-0.020552,0.013594,0.010891,0.011842,0.003168,-0.044737,0.014692,0.031222,0.002896,0.006704,-0.01069,0.001328,-0.008668,-0.009904,0.028927,-0.004992,-0.003521,-0.030033,0.006648,0.007237,-0.00485,-0.008484,-0.027399,-0.027796,-0.002214,0.007429,-0.008427,0.024628,0.010934,-0.007366,-0.009581,-0.007018,0.004489,0.014453,0.012841,-0.020174,0.026445,0.013894,-0.016426,0.007566,0.010073,-0.034361,0.002911,0.022374,0.012087,-0.018638,0.014935,0.011627,0.016611,-0.000618,-0.001944,-0.020544,0.006419,0.018236,-0.005205,0.009312,-0.005272,0.040191,-0.018258,-0.017732,0.021575
UNITEDHEALTH GROUP INC,-0.014122,-0.007089,0.000331,-0.010007,0.012728,0.014733,-0.022403,0.006492,-0.040594,-0.015955,-0.020905,0.016918,0.007409,0.028507,-0.02417,0.011408,0.012656,0.014933,-0.009951,-0.008022,0.037424,-0.019808,0.001676,-0.002089,0.007999,0.006656,0.009228,-0.015915,0.012352,-0.013996,0.00026,-0.019838,-0.007542,-0.000191,-0.006474,0.01409,-0.000853,0.008006,0.00128,-0.006654,0.002706,0.000566,-0.021766,-0.027264,-0.028821,8.2e-05,0.000122,-0.008285,0.015226,0.004601,-0.012307,-0.009171,-0.018224,0.01705,0.004872,-0.00187,0.011918,0.001831,-4.1e-05,-0.013056,-0.000535,0.027584
JOHNSON & JOHNSON,-0.005058,-0.015368,0.001702,0.004452,0.008747,0.004972,-0.007996,0.011714,-0.029919,0.015716,0.002792,0.006207,0.008071,0.007663,0.005108,0.00483,0.001074,0.001299,0.000508,-0.006993,0.010847,0.004157,0.000783,-0.000559,-0.01499,0.006076,0.000169,-0.008239,0.011949,0.007704,0.003069,-0.012628,-0.010254,-0.001082,0.001083,0.011442,-0.003658,0.002542,-0.000282,-0.00434,0.005095,-0.005125,0.008718,0.010887,-0.007384,0.00811,-0.025908,-0.002392,-0.001599,-0.005032,-0.003276,-0.00617,-0.015085,-0.001355,-0.00466,-0.002548,0.0,0.00713,-0.003658,-0.003908,-0.037033,0.008765
