asset_name,2024-05-01,2024-05-02,2024-05-03,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-17,2024-06-18,2024-06-20,2024-06-21,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-07-01,2024-07-02,2024-07-03,2024-07-05,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-29,2024-07-30,2024-07-31
APPLE INC,-0.006047,0.022032,0.059816,-0.009107,0.003797,0.001864,0.010014,-0.006881,0.017645,0.006173,0.012218,0.000632,0.000158,0.006162,0.006857,-0.007538,-0.021058,0.016588,5.3e-05,0.001579,0.005255,0.005019,0.009259,0.001649,0.007821,-0.007097,0.012392,-0.019148,0.072649,0.028578,0.005491,-0.008168,0.019672,-0.010985,-0.021513,-0.010444,0.003133,0.004468,0.019993,0.003986,-0.016254,0.029105,0.01624,0.005811,0.02162,0.006539,0.003775,0.018804,-0.023221,0.013051,0.016743,0.001792,-0.025296,-0.020535,0.00058,-0.00156,0.004688,-0.028754,-0.004805,0.002161,0.001285,0.002566,0.014991
MICROSOFT CORP,0.014409,0.007343,0.02217,0.016918,-0.010156,0.002932,0.004336,0.005869,-0.002459,0.006865,0.017452,-0.00494,-0.001853,0.012208,0.008699,0.00345,-0.008176,0.0074,0.000372,-0.002672,-0.033786,0.001109,-0.003878,0.006167,0.019083,0.001203,-0.001578,0.009484,0.011242,0.019368,0.001179,0.002242,0.013105,-0.004528,-0.001434,0.009154,-0.004691,0.007327,0.002683,0.001526,-0.013029,0.021882,0.005583,0.003244,0.014736,-0.002823,-0.01437,0.014602,-0.024772,-0.002529,0.000904,-0.009781,-0.013348,-0.007102,-0.007403,0.013338,0.004312,-0.035855,-0.024481,0.01642,0.003433,-0.008928,-0.010806
NVIDIA CORP,-0.0389,0.033429,0.034632,0.037741,-0.017213,-0.001568,-0.018416,0.012744,0.005797,0.010586,0.035838,-0.002864,-0.019924,0.024881,0.006394,-0.004571,0.093196,0.025723,0.069804,0.008112,-0.037666,-0.007846,0.048954,0.012496,0.051556,-0.011777,-0.000909,0.007461,-0.007143,0.035481,0.035224,0.017514,-0.006824,0.03512,-0.035404,-0.032192,-0.066841,0.067564,0.002459,-0.019067,-0.003629,0.006152,-0.013114,0.045733,-0.019099,0.018835,0.024805,0.026869,-0.055667,0.014443,-0.00619,-0.016194,-0.066239,0.026273,-0.026096,0.047571,-0.00769,-0.068032,-0.017243,0.006947,-0.013002,-0.070436,0.128121
AMAZON COM INC,0.022857,0.031955,0.008066,0.013372,0.000318,-0.004026,0.007979,-0.01066,-0.004854,0.00268,-0.005773,-0.012689,0.005827,-0.00628,-0.002125,-0.000109,-0.011358,-0.001657,0.007745,-0.000714,-0.014834,-0.016061,0.010769,0.005607,0.010818,0.020521,-0.003784,0.014976,0.000909,-0.001816,-0.016373,-0.000925,0.002178,-0.006791,0.017997,0.016013,-0.018564,0.004149,0.039015,0.0219,-0.02325,0.02044,0.014199,-0.01205,0.012197,-0.00355,0.000251,0.002257,-0.023725,-0.002871,-0.009101,0.001557,-0.02637,-0.022242,-0.003374,-0.003167,0.021145,-0.029934,-0.005419,0.014735,0.003836,-0.008133,0.029002
META PLATFORMS INC,0.020968,0.00567,0.023275,0.030357,0.005497,0.009312,0.005967,0.001641,-0.017199,0.008205,0.020536,-0.017257,-0.002789,-0.006505,-0.00898,0.00678,-0.004276,0.026708,0.003555,-0.011585,-0.01541,-0.000471,0.022835,-0.001047,0.037883,-0.002626,-0.00162,0.019555,0.00969,0.0027,-0.009315,0.001111,0.004899,-0.014093,0.004425,-0.013793,0.008347,0.023431,0.004935,0.012551,-0.029525,0.000912,0.009551,0.000903,0.05873,-0.019614,0.001285,0.008849,-0.041127,-0.026975,-0.005432,-0.012839,-0.056759,0.030001,0.001975,0.022253,0.002647,-0.056109,-0.01704,0.027106,2.1e-05,-0.005411,0.02513
ALPHABET INC,0.006635,0.016844,0.003721,0.005142,0.018739,-0.01092,0.003424,-0.007708,0.002905,0.007095,0.012739,0.009681,0.010794,0.004885,0.005257,-0.008265,-0.016045,0.008297,0.008058,-0.002834,-0.021546,0.002266,0.003884,0.00358,0.009322,0.007525,-0.012844,0.004299,0.009199,0.006624,-0.014793,0.009306,0.002545,-0.012131,0.006911,0.018888,-0.002282,0.026839,-0.000815,0.008321,-0.017583,0.004612,0.012296,0.003131,0.025724,-0.008237,-0.000265,0.011641,-0.029344,-0.002694,0.007889,-0.013992,-0.015768,-0.018396,-0.000169,0.022571,0.000661,-0.050388,-0.030991,-0.001674,0.01515,0.004483,0.00734
ALPHABET INC,0.005649,0.017455,0.003146,0.004971,0.018548,-0.010521,0.002454,-0.007518,0.003582,0.006027,0.011342,0.008914,0.010603,0.006599,0.006052,-0.008577,-0.016517,0.007255,0.009584,-0.003483,-0.021646,0.002305,0.002644,0.004071,0.011078,0.007229,-0.013457,0.005001,0.008832,0.007688,-0.015705,0.009223,0.002299,-0.013033,0.007141,0.014349,0.00294,0.026495,-0.001132,0.008038,-0.01841,0.005834,0.011491,0.00418,0.024388,-0.00771,-0.00021,0.011657,-0.027821,-0.002776,0.007549,-0.014294,-0.015526,-0.018618,0.000949,0.022075,0.001364,-0.050272,-0.029879,-0.002838,0.014525,0.004266,0.007506
LILLY ELI & CO,-0.005569,-0.02683,-0.027702,0.043145,0.014465,-0.003561,-0.004452,-0.01497,-0.003026,0.008288,0.03186,-0.020203,-0.001452,0.017117,0.025524,-0.000324,0.0069,-0.001262,0.000533,0.004543,0.00435,0.006478,0.013312,0.0016,-0.000997,0.006649,0.015168,0.017659,0.000948,0.001709,0.018483,-0.005525,0.007468,0.007288,-0.006136,-0.002382,0.007048,0.01629,-0.003703,0.008632,-0.004026,0.00993,-0.008377,-0.009496,0.018339,0.00375,0.015795,0.007807,-0.006001,0.015265,0.002172,-0.009322,-0.038243,-0.0626,0.010095,0.009913,0.014227,-0.020961,-0.044995,-0.020178,0.00394,-0.021763,0.017793
BROADCOM INC,-0.044152,-0.003452,0.031924,0.025194,-0.005495,0.017082,-0.014864,0.020779,0.003534,0.03179,0.04068,-0.016739,-0.011925,0.013431,-0.010488,-0.004974,0.000754,0.010443,0.003275,-0.01542,-0.01912,-0.026047,-0.005005,0.006748,0.061819,-0.008365,0.003832,0.02405,0.014273,0.0236,0.122687,0.033383,0.054079,-0.014408,-0.037703,-0.043775,-0.03688,-0.007172,0.007091,-0.003354,0.011893,0.021968,0.010166,0.043283,-0.014984,0.024981,-0.007188,0.006565,-0.022205,-0.003095,0.007956,-0.01193,-0.079085,0.029106,-0.019748,0.023578,0.016826,-0.075899,-0.013744,0.015878,-0.009299,-0.044601,0.119565
TESLA INC,-0.017951,0.000111,0.006555,0.019703,-0.037616,-0.017378,-0.01574,-0.020352,0.0203,0.032928,-0.020051,0.004885,0.014985,-0.014144,0.066591,-0.03478,-0.035367,0.031657,-0.013892,-0.003168,0.014757,-0.003971,-0.010052,-0.008622,0.001316,0.0168,-0.002585,-0.020791,-0.01801,0.038849,0.029218,-0.024442,0.052975,-0.013764,-0.017797,0.007931,-0.00235,0.026126,0.048145,0.005347,0.00233,0.060542,0.101973,0.065424,0.020821,0.005646,0.037123,0.003545,-0.084441,0.029872,0.017766,0.015516,-0.031416,0.002938,-0.040244,0.051463,-0.020397,-0.123346,0.019723,-0.002043,0.05596,-0.040845,0.042449
