asset_name,2022-12-01,2022-12-02,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-27,2023-02-28
APPLE INC,0.001892,-0.003371,-0.007983,-0.02537,-0.013785,0.012133,-0.003435,0.01639,0.006782,-0.015536,-0.046854,-0.014579,-0.01591,-0.000529,0.02381,-0.023773,-0.002798,-0.013878,-0.030685,0.028324,0.002469,-0.037405,0.010314,-0.010605,0.036794,0.004089,0.004456,0.021112,-0.000599,0.010119,0.008756,-0.00537,0.000444,0.019221,0.0235,0.010063,-0.004701,0.014803,0.013684,-0.020078,0.009021,0.007901,0.037063,0.0244,-0.017929,0.019245,-0.017653,-0.006912,0.002452,0.018807,-0.004225,0.013903,-0.010429,-0.007547,-0.02668,0.002896,0.003291,-0.018005,0.008248,-0.003448
MICROSOFT CORP,-0.001764,0.001296,-0.018901,-0.020304,-0.00306,0.012399,-0.008003,0.028889,0.017465,0.001168,-0.031918,-0.017349,-0.017328,0.005615,0.010877,-0.025529,0.002267,-0.007414,-0.010255,0.02763,-0.004938,-0.001001,-0.043743,-0.029638,0.011785,0.009736,0.007617,0.030238,0.011622,0.003019,0.004682,-0.018889,-0.016454,0.035744,0.009824,-0.002226,-0.005908,0.030714,0.000645,-0.021962,0.021013,0.019935,0.046884,-0.023621,-0.006116,0.042022,-0.003102,-0.01166,-0.001972,0.031243,0.003133,-0.007973,-0.026623,-0.015602,-0.020887,-0.004591,0.012962,-0.021784,0.003772,-0.002958
AMAZON COM INC,-0.010773,-0.014346,-0.033146,-0.030326,0.00238,0.021366,-0.013946,0.016388,0.021425,-0.009839,-0.034178,-0.00667,-0.033462,0.00318,0.018547,-0.034344,0.017425,-0.025924,-0.014692,0.028844,-0.002138,0.021667,-0.007924,-0.023726,0.035611,0.01487,0.028732,0.058084,0.001893,0.029915,-0.021097,-0.006143,-0.018647,0.038108,0.002776,-0.012305,0.008929,0.020992,0.030437,-0.01653,0.025659,0.019587,0.073799,-0.084315,-0.011703,-0.000685,-0.020174,-0.018091,-0.006413,0.019773,0.001607,0.014644,-0.029755,-0.009679,-0.026955,0.012793,0.000313,-0.024212,0.002781,0.005013
TESLA INC,0.0,0.000822,-0.063687,-0.014415,-0.032143,-0.003447,0.032346,-0.06272,-0.040937,-0.025784,0.005548,-0.047187,-0.002396,-0.080536,-0.001669,-0.088828,-0.017551,-0.114089,0.033089,0.080827,0.011164,-0.122422,0.051249,-0.029039,0.024651,0.059349,-0.007681,0.036769,0.002759,-0.009388,0.074265,-0.02061,-0.012502,0.049147,0.077425,0.000974,0.003753,0.109673,0.110002,-0.063182,0.039362,0.047281,0.037815,0.009083,0.025161,0.010526,0.022763,0.029957,-0.050309,-0.011428,0.075062,0.023847,-0.056946,0.031034,-0.052518,0.017683,0.006024,-0.025684,0.054602,-0.009247
NVIDIA CORP,0.012527,-0.015115,-0.015762,-0.037508,0.008319,0.065075,-0.009785,0.03141,0.030624,-0.022023,-0.040851,-0.022475,-0.01913,-0.010397,0.025863,-0.07042,-0.008671,-0.071353,-0.006019,0.040396,0.000753,-0.02046,0.030318,-0.032816,0.04164,0.051753,0.017981,0.005783,0.031873,0.0235,0.047518,-0.01836,-0.035219,0.064062,0.075901,0.003751,0.003011,0.024789,0.028431,-0.059072,0.01957,0.071966,0.036576,-0.028053,-0.000521,0.051401,0.001443,0.005945,-0.047992,0.024595,0.054296,-0.009011,-0.033474,-0.027907,-0.034272,0.004793,0.140214,-0.015974,0.009233,-0.012127
ALPHABET INC,-0.001676,-0.004443,-0.009521,-0.025633,-0.022197,-0.012612,-0.009367,0.005265,0.024476,-0.005634,-0.043123,-0.003728,-0.01882,0.005384,0.006917,-0.02205,0.017562,-0.020933,-0.016718,0.028799,-0.002473,0.010932,-0.011037,-0.021869,0.016019,0.00726,0.004955,0.033841,-0.003794,0.009683,-0.006897,-0.004123,0.023208,0.057182,0.01944,-0.019761,-0.024997,0.025122,0.015631,-0.027405,0.019602,0.01562,0.072661,-0.032904,-0.016632,0.044167,-0.074417,-0.0454,-0.006285,0.001476,-0.000526,0.022644,-0.013594,-0.012424,-0.026853,-0.002716,-0.007952,-0.018887,0.008394,0.00222
ALPHABET INC,0.0,-0.005446,-0.009558,-0.025131,-0.021035,-0.012956,-0.009391,0.005171,0.024863,-0.005856,-0.044283,-0.006604,-0.020164,0.006558,0.006291,-0.020317,0.01675,-0.020621,-0.015677,0.028249,-0.002487,0.010087,-0.01167,-0.021344,0.013225,0.007786,0.004544,0.03506,-0.004261,0.010864,-0.00901,-0.001862,0.021181,0.053412,0.018058,-0.020944,-0.025384,0.024155,0.018971,-0.024454,0.0196,0.016087,0.072787,-0.027474,-0.017942,0.046064,-0.07683,-0.043876,-0.004631,0.000423,0.00074,0.02387,-0.014751,-0.012145,-0.027133,-0.001525,-0.008292,-0.019364,0.008303,0.002114
EXXON MOBIL CORP,-0.00485,-0.008484,-0.027399,-0.027796,-0.002214,0.007429,-0.008427,0.024628,0.010934,-0.007366,-0.009581,-0.007018,0.004489,0.014453,0.012841,-0.020174,0.026445,0.013894,-0.016426,0.007566,0.010073,-0.034361,0.002911,0.022374,0.012087,-0.018638,0.014935,0.011627,0.016611,-0.000618,-0.001944,-0.020544,0.006419,0.018236,-0.005205,0.009312,-0.005272,0.040191,-0.018258,-0.017732,0.021575,-0.010947,-0.031288,0.006928,-0.001698,0.028551,-0.008702,0.003775,0.042151,-0.00386,-0.011715,-0.003006,-0.002929,-0.038452,-0.000989,-0.012953,0.009204,9e-05,-0.001806,-0.005789
UNITEDHEALTH GROUP INC,-0.019808,0.001676,-0.002089,0.007999,0.006656,0.009228,-0.015915,0.012352,-0.013996,0.00026,-0.019838,-0.007542,-0.000191,-0.006474,0.01409,-0.000853,0.008006,0.00128,-0.006654,0.002706,0.000566,-0.021766,-0.027264,-0.028821,8.2e-05,0.000122,-0.008285,0.015226,0.004601,-0.012307,-0.009171,-0.018224,0.01705,0.004872,-0.00187,0.011918,0.001831,-4.1e-05,-0.013056,-0.000535,0.027584,-0.004387,-0.052656,0.002527,0.006822,0.003451,0.013295,0.005194,0.017541,0.002226,-0.005087,-0.003206,-0.007939,0.024069,-0.015569,-0.004926,0.005727,-0.014969,-0.002085,-0.015269
JPMORGAN CHASE & CO,-0.01404,-0.007927,-0.028041,0.001675,-0.000684,0.010494,-0.005418,0.015512,-0.000969,-0.004997,-0.024811,-0.006226,0.005956,0.004844,0.011248,-0.01135,0.004745,0.003504,0.005465,0.005738,0.006606,0.007606,0.009325,-0.00022,0.019136,-0.004132,0.008954,0.007431,-0.001003,0.025235,-0.015453,-0.030043,-0.013327,0.002449,0.016213,0.008596,0.004839,0.006182,0.002429,-0.008481,0.005966,-0.002644,-0.004656,0.015474,0.005883,0.01219,-0.007031,-0.015564,0.004415,0.010848,0.004419,0.00419,-0.013769,0.002961,-0.018349,-0.007663,0.008011,0.009021,0.008728,0.008371
