asset_name,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
MICROSOFT CORP,-0.011612,-0.014339,0.009156,-0.009986,0.00583,0.008842,-0.007829,0.008295,-2.7e-05,-0.022545,0.013117,0.005179,0.001637,-0.007073,0.007879,0.002784,0.000214,-0.001575,0.003235,0.002025,-0.013749,-0.000728,-0.007178,-0.000516,0.018872,0.002936,0.018574,0.004859,0.009984,0.004634,-0.00205,0.011297,0.012187,-0.005418,0.006028,0.009175,0.005738,-0.002322,0.014334,-0.002758,-0.026946,0.015594,0.018426,-0.013545,-0.000394,0.02111,0.000145,0.015551,-0.012579,-0.021529,0.009648,-0.007155,-0.006149,-0.003143,-0.001514,0.023547,-0.003182,-0.006824,-0.000147,0.000589,0.01452
APPLE INC,0.006791,-0.009465,0.021063,-0.005687,0.010139,0.007412,-0.012927,0.00792,0.016692,0.000758,-0.002726,-0.008503,0.00536,-0.010714,-0.00077,-0.005548,-0.002841,0.000518,0.002226,-0.005424,-0.035787,-0.007488,-0.0127,-0.004013,0.024175,-0.002263,0.005671,-0.003223,0.001778,-0.012317,-0.005174,0.032571,0.015533,0.012163,0.006653,-0.003484,-0.001697,-0.009013,-0.003586,-0.019246,-0.019358,0.013341,-0.005405,0.009847,0.008632,0.000581,-0.005755,0.004089,-0.009002,-0.011274,-0.00481,-0.001575,-0.00843,-0.004114,0.004186,0.011244,-0.010034,-0.007451,0.008114,-0.006625,-0.003693
NVIDIA CORP,-0.000107,-0.026836,0.023292,-0.022828,0.02402,0.01953,-0.018503,0.02209,0.009044,0.005448,0.011169,0.024279,-0.009445,-0.030098,0.01827,-0.003266,0.009195,0.0028,0.002125,0.0,-0.027341,-0.012436,0.009019,0.022897,0.064281,0.016975,0.02277,0.008684,-0.002043,0.030561,-0.005835,0.018804,0.041746,0.00274,0.003671,0.024869,0.004156,-0.00951,0.023496,0.004947,-0.019865,0.02438,0.049709,0.047944,-0.015996,0.027498,-0.006534,0.035784,0.001594,-0.001661,0.024567,-0.016807,-0.000619,-0.043532,-0.028509,0.164009,0.003552,0.003489,-0.004944,-0.013189,0.018658
AMAZON COM INC,0.006434,-0.014895,0.014085,-0.016068,0.01633,0.003676,-0.010379,0.010899,0.009222,-0.00954,0.017298,0.027339,-0.001817,-0.010859,0.011307,-0.00273,-6.5e-05,-0.000456,0.000261,-0.009388,-0.013229,-0.009738,-0.026268,0.004634,0.026577,0.015225,0.015591,0.009432,-0.003609,-0.009442,-0.009467,0.011799,0.011987,-0.003605,0.008011,0.005448,0.00561,0.008685,0.013449,-0.014015,-0.023899,0.026289,0.078667,-0.008731,-0.006811,0.008158,-0.004046,0.027143,-0.012095,-0.021469,0.013876,-0.006901,-0.001708,-0.014335,0.009038,0.03553,0.002349,-0.001486,-0.006811,-0.00219,0.02079
META PLATFORMS INC,-0.007122,-0.014778,-0.005406,-0.002639,0.028792,0.018862,-0.022449,0.027484,0.001556,-0.00469,0.005253,0.028962,0.016656,-0.003083,0.013771,-0.001977,0.004075,0.008455,0.001369,-0.012168,-0.021669,-0.005256,0.007693,0.013915,0.019065,-0.003429,0.036483,-0.002159,0.013039,-0.018772,0.002476,0.021066,0.019461,-0.004355,0.008958,0.014278,0.006348,0.002442,0.017456,-0.002394,-0.024796,0.011893,0.203176,-0.032801,-0.010209,0.032701,0.000873,-0.004021,0.001688,-0.018725,0.028601,0.022714,-0.022127,-0.003317,-0.006826,0.038673,-0.00432,-0.004731,0.011023,-0.006221,0.012624
ALPHABET INC,-0.005055,-0.019642,0.013306,-0.007405,0.053146,-0.014168,-0.012594,-0.005777,0.000377,-0.004752,0.005002,0.024133,0.006259,0.012367,0.015035,0.00762,0.000212,-0.008126,-0.000997,-0.003851,-0.010881,0.005428,-0.018212,-0.004839,0.022913,0.015197,0.009436,-0.001406,0.004012,-0.001122,-0.007158,0.014208,0.020212,-0.002664,0.007192,0.01129,0.021318,0.002074,0.008706,-0.013354,-0.075003,0.007566,0.008643,0.00913,0.002923,0.009993,0.002542,0.021177,-0.009866,-0.0162,0.005512,-0.021721,-0.01576,0.00427,0.010133,0.010803,-0.000902,-0.044387,0.009522,-0.018001,0.015252
ALPHABET INC,-0.00448,-0.020177,0.013473,-0.007251,0.053413,-0.013073,-0.014198,-0.007869,0.002469,-0.005748,0.004805,0.02503,0.006633,0.011296,0.015323,0.006488,0.000701,-0.009663,-0.001131,-0.002477,-0.009721,0.005732,-0.016529,-0.004709,0.022855,0.014445,0.008698,-0.000904,0.003967,-0.001109,-0.008259,0.014697,0.020553,-0.001757,0.006567,0.011232,0.021882,0.000976,0.006828,-0.01156,-0.073505,0.006418,0.005816,0.009684,0.003312,0.008734,0.003682,0.020378,-0.009919,-0.015868,0.005261,-0.021748,-0.015145,0.003104,0.011533,0.010289,-0.000207,-0.045013,0.00973,-0.019058,0.0171
LILLY ELI & CO,-0.011844,0.002808,0.004217,0.00187,-0.001663,0.016625,-0.023426,0.001233,0.021787,-0.039883,-0.002841,0.013496,8.6e-05,-0.016557,0.003139,-0.002815,0.000491,0.018995,-0.001135,0.003564,0.01592,0.04306,-0.005181,0.006591,0.012093,-0.000879,0.00753,0.008775,0.011326,-0.012988,-0.008919,-0.008841,0.00839,0.003659,-0.001902,0.006384,-0.009594,0.01853,0.008995,-3.1e-05,0.000977,0.022955,0.010932,0.05774,-0.001657,0.028864,0.014199,0.00609,-0.003918,0.007745,0.021051,0.000621,0.032041,-0.033757,-0.012903,0.031814,-0.00013,0.003093,-0.008965,-0.009621,-0.005227
TESLA INC,-0.005207,-0.013608,0.013329,0.002723,0.013661,0.004946,-0.016814,-0.011387,0.00962,0.049145,0.009759,-0.005602,0.02039,-0.039188,0.029781,-0.007701,0.016116,0.018822,-0.031594,-0.018564,-0.000241,-0.040134,-0.002181,-0.001849,0.012464,-0.022832,-0.004341,-0.028725,-0.036661,0.00466,-0.019826,-0.017026,0.001463,-0.015976,0.001628,-0.006264,-0.121253,0.003395,0.04191,0.003457,-0.022444,0.008383,-0.00503,-0.036454,0.022313,0.013398,0.010556,0.021154,-0.028104,-0.021847,0.025486,0.062212,-0.002494,-0.030958,0.005213,0.013554,-0.027557,0.038704,0.001655,0.011566,-0.000792
BROADCOM INC,0.004613,-0.006484,-0.011743,-0.010382,0.020606,0.023898,0.08995,0.041817,0.016236,0.015417,0.021012,0.015278,-0.001892,-0.025623,0.015229,-0.00471,0.008833,-0.005053,-0.003339,-0.005488,-0.027655,-0.024692,-0.00904,0.000257,0.024369,0.007108,-0.001774,0.017963,0.007,0.006572,-0.010126,0.03646,0.058825,0.007678,0.00476,0.022474,-0.019037,-0.020423,0.010698,-0.007891,-0.023308,0.016958,0.020275,0.015323,-0.016451,0.028144,0.01408,0.006809,-0.014368,-0.010553,0.008445,0.002258,-0.015485,-0.015199,0.000734,0.063098,-0.006537,0.009843,-0.009854,-0.005254,0.008585
JPMORGAN CHASE & CO,0.004869,0.007332,-0.000127,-0.010508,0.003071,0.011034,0.003659,0.008925,0.003364,0.018192,0.007561,0.006052,0.013355,-0.011279,0.005704,-0.000597,0.005914,0.005998,0.005313,-0.001174,0.01164,-0.004358,0.006595,0.005017,-0.001451,-0.007906,0.002109,-0.00421,-0.00734,-0.00627,-0.005358,0.001975,0.017262,-0.001174,-0.006584,0.008935,0.014311,-0.003816,0.002612,0.020495,-0.010836,-0.003613,0.005756,-0.001316,0.003438,0.001885,-0.003591,0.001201,0.004457,-0.008704,0.010157,0.021814,-0.00467,0.00391,0.00651,0.011996,0.005025,-0.003424,0.000491,0.00507,0.009112
BERKSHIRE HATHAWAY INC DEL,-0.008139,-0.001148,-0.00457,-0.007464,0.000908,0.001077,0.011272,0.00829,0.005583,-0.0108,-0.004524,0.008836,0.005978,-0.017828,0.002223,0.000927,0.00101,0.000336,0.001737,-0.002545,0.016262,0.011836,-0.008371,0.005252,0.007084,-0.003477,0.00278,-0.012448,0.000771,-0.00693,-0.005012,0.0086,0.012721,0.002916,0.011085,0.011958,0.011312,0.011947,-0.00576,0.010361,-0.008808,0.007036,0.011153,2.6e-05,0.007626,0.009956,-0.000428,0.002189,-0.001632,-0.007317,0.009828,0.011965,0.006296,0.002857,0.005158,0.014441,0.004962,-0.019366,-0.000562,0.007899,-0.006648
WALMART INC,-0.008671,-0.000259,0.009268,-0.010852,-0.006557,-0.010495,0.002519,0.000793,0.017772,-0.012204,0.003746,0.0146,0.003614,-0.011702,0.007091,0.011951,-0.001532,0.009398,-0.001964,0.000508,0.010403,6.3e-05,-0.009667,-0.006656,0.009827,0.006698,0.012429,-0.001116,0.001304,0.003161,-0.004696,0.013472,-0.005268,6.2e-05,0.002525,-0.014128,0.014579,0.008782,0.004687,0.003333,-0.002053,0.018517,0.007486,-0.005367,0.006818,-0.002532,-5.9e-05,-0.000531,0.006026,-0.006812,-0.003193,0.004092,0.006321,0.032285,-0.012283,0.009845,0.000855,0.018455,-0.000168,0.000503,-0.016941
UNITEDHEALTH GROUP INC,-0.007107,0.002047,0.003611,-0.001327,-0.002293,0.002736,-0.011077,0.003752,0.006029,-0.026903,-0.00584,-0.008604,-0.004767,-0.015476,0.007656,0.000827,-0.000538,0.005307,0.004036,0.002991,0.024446,0.004988,0.006254,-0.014741,-0.0016,0.003448,-0.001356,0.003794,-0.033668,-0.004525,0.011153,-0.016383,-0.024751,0.018727,0.004932,-0.004442,-0.038638,0.019862,0.002663,-0.001843,0.016144,-0.008989,0.006093,-0.014249,0.015329,0.017076,0.001348,-0.003596,-0.001119,-0.001526,0.000174,0.007622,0.001286,-0.000939,0.001746,0.008679,0.001405,-0.003642,-0.022653,-0.029489,-0.009392
VISA INC,-0.000896,-0.007838,0.000668,-0.001257,0.006017,-0.000313,0.00305,0.011851,0.010865,-0.013911,-0.002706,0.001318,0.00627,-0.011077,0.009451,-0.004277,0.002825,-0.000888,0.005677,-0.000192,-0.005685,-0.003438,0.006318,0.000308,0.010975,0.003009,0.004671,-0.002003,0.00053,0.00405,0.005241,0.005663,0.010293,0.001107,0.000221,0.001438,0.003534,-0.017131,0.021348,0.012753,-0.014036,0.01387,0.000469,-0.005772,0.004282,0.009503,-0.01106,0.002357,-0.00492,0.00269,0.006345,0.012322,-0.008613,-0.012242,0.005851,0.025257,-0.000529,0.001939,-0.003449,0.008687,-0.010468
