permno,mkt_cap,asset_name,2017-02-01,2017-02-02,2017-02-03,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-27,2017-02-28,2017-03-01,2017-03-02,2017-03-03,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28
14593,748968063.8616,APPLE INC,0.060981,-0.001709,0.004279,0.009374,0.009517,0.003877,0.007195,-0.002266,0.008856,0.012979,0.003629,-0.001218,0.002771,0.007221,0.002999,-0.00423,0.000952,0.001976,0.000438,0.020439,-0.005937,0.005901,-0.003148,0.001292,-0.003727,-0.002302,0.003317,0.000431,-0.001509,0.010576,0.001637,-0.004975,0.010501,-0.011452,0.011299,-0.003536,-0.001987,0.001707,0.020727,0.002225,-0.001318,-0.001876,0.000278,0.007446,-0.005181,-0.0025,-0.002228,-0.001186,-0.010756,0.0012,-0.005289,0.00553,-0.004442,-0.003683,0.012511,-0.001193,0.00963,0.006196,-0.005881,0.000766,-0.000974
10107,528546456.9,MICROSOFT CORP,-0.016551,-0.006449,0.008073,-0.000628,-0.0033,-0.001419,0.011367,-0.000937,0.01125,0.003708,-0.000619,-0.000155,0.00155,-0.002012,-0.002016,0.00404,0.0,-0.006035,-0.003892,0.015005,-0.014321,0.003749,0.000311,0.002023,0.009161,-0.004001,0.00309,-0.003388,-0.004636,0.005279,-0.001699,0.003558,0.000925,-0.011089,0.012771,-0.00246,0.001696,0.001847,0.002919,0.002757,0.003666,0.002283,-0.004707,0.002746,-0.002586,0.002593,-0.000761,-0.002284,-0.000763,-0.003818,-0.004293,0.00816,-0.001375,-0.005352,0.007073,0.013741,0.017018,0.005775,-0.001325,0.006487,0.002783
84788,442122090.47025,AMAZON COM INC,0.010771,0.009131,-0.035419,-0.00316,0.006018,0.008874,0.002013,0.007427,0.010961,-0.000167,0.007544,0.001709,0.001102,0.013455,-0.000969,-0.003997,-0.008155,0.004023,-0.004242,0.009514,-0.004888,0.001143,-0.003848,-0.000697,0.005295,0.002939,-0.000633,0.002499,-0.002411,0.000516,0.000528,-0.001301,0.005467,-0.016068,0.005764,-0.000802,-0.002089,0.001431,0.010841,0.021402,0.00231,0.011639,0.005606,0.017184,0.002702,-0.012098,-0.003785,0.013588,-0.00516,-0.006793,-0.012899,0.019578,0.001985,-0.005068,0.003181,-0.003913,0.009883,0.000231,0.00184,0.009997,0.007197
13407,355242085.0,FACEBOOK INC,0.02233,-0.017939,0.00107,0.008246,-0.001666,0.017901,-0.000447,0.000373,-0.001043,-0.001492,-0.003063,0.002998,-0.002316,0.001423,0.017948,-0.005583,0.000591,0.007162,-0.006378,0.013871,-0.004803,0.002998,0.001823,-0.000873,0.003059,0.003776,0.003979,0.005836,-0.002006,0.002871,0.001932,-0.001072,0.000715,-0.010219,0.007797,-0.00043,0.005805,-0.000142,0.010262,0.006278,-0.001682,-0.002528,0.001619,-0.003866,0.000847,-0.004794,-0.002763,0.001847,-0.007941,-0.00243,-0.001361,0.014563,-0.003253,0.009293,0.010754,-0.000835,0.012458,0.007012,0.000478,0.007778,0.017265
11850,346174117.8,EXXON MOBIL CORP,-0.011324,0.006149,0.001079,-0.002753,-0.006482,-0.006524,0.004418,0.008309,0.005817,-0.002169,0.004105,-0.010342,-0.006561,0.00159,-0.011723,0.010503,-0.00856,0.005673,-0.002698,0.020905,0.003373,-0.010084,0.004487,-0.003743,-0.018056,0.007898,-0.000735,-0.002328,-0.005281,0.012471,0.000854,-0.000853,0.0,-0.002073,-0.000855,0.001223,-0.007696,0.000246,0.007261,0.002199,0.020483,-0.020191,0.000732,0.003655,0.001942,0.005816,-0.003012,0.004471,-0.003489,0.001569,-0.015427,-0.001347,-0.006497,-0.006909,0.00646,-0.00395,0.005205,0.007644,-0.004038,-0.00172,0.004799
22111,334713835.24,JOHNSON & JOHNSON,-0.000177,0.003003,0.000616,-0.002112,0.000705,-0.000705,0.005996,0.010168,0.005554,0.004142,0.007219,0.007509,0.006606,0.006731,-0.00117,0.01824,0.015037,-0.002689,-0.001552,0.013501,-0.001857,0.001294,-0.000646,0.00097,0.00218,0.014907,0.002064,0.003724,0.002921,0.015034,-0.003877,-0.003114,7.8e-05,-0.006403,-0.00778,-0.002851,-0.003336,0.00255,-0.001113,-0.005889,-0.002081,-0.000882,0.001124,-8e-05,0.000962,0.002003,-0.00104,-0.004643,-0.000965,0.009499,-0.00327,0.00584,-0.031021,-0.003694,0.00412,-0.000903,0.009281,0.004394,0.000648,0.001862,-0.002182
14542,314338230.25934,ALPHABET INC,-0.001374,0.003563,0.003707,-0.000187,0.007026,0.001747,0.00146,0.005077,0.006846,0.001477,-0.001792,0.006325,0.004744,0.004335,-0.001082,0.000686,-0.003236,0.000772,-0.00732,0.014614,-0.005519,-0.001866,-0.001568,0.004989,0.004159,0.003962,0.005449,0.002716,9.5e-05,0.001868,0.001865,0.003935,-0.004366,-0.021146,-0.001048,-0.014477,-0.003853,0.006238,0.001721,0.012778,0.000108,-0.002333,0.010837,-0.004746,-0.003786,-0.004246,-0.003877,7.3e-05,-0.001673,0.001178,-0.000922,0.016526,-0.000418,0.001661,0.004104,0.00183,0.02321,0.011058,-0.000653,0.002891,0.036271
47896,309533646.0,JPMORGAN CHASE & CO,0.003781,-0.004238,0.030618,-0.004703,-0.000576,-0.008764,0.014425,-0.002294,0.013218,0.015995,0.011501,-0.000662,-0.003314,0.008645,0.000549,0.000769,-0.008779,0.001107,0.002101,0.032885,-0.015598,0.007163,-0.009483,-0.005548,-0.002188,0.003947,-0.003167,0.000876,0.001642,0.002404,-0.000981,-0.010476,-0.007168,-0.029324,0.001602,-0.001599,-0.001144,-0.000573,0.015589,-0.003725,0.00861,-0.013366,-0.003643,0.003314,-0.012828,0.003365,-0.003469,-0.003481,-0.001747,-0.003849,-0.01171,0.017299,-0.008153,-0.00822,0.012906,-0.01204,0.035258,0.008686,0.001926,-0.009273,-0.006963
90319,275163969.03258,ALPHABET INC,-0.006035,0.003704,0.002285,0.001817,0.009262,0.000784,0.000217,0.005771,0.004923,0.001275,-0.003226,0.005792,0.005201,0.003213,0.002461,-0.000423,-0.003749,0.002194,-0.005579,0.013989,-0.008054,-0.000906,-0.002132,0.004579,0.002925,0.00492,0.004156,0.003686,0.001538,0.002864,0.001854,0.002724,-0.005113,-0.020474,-0.0004,-0.011944,-0.005371,0.004035,0.002528,0.010992,-0.000459,-0.001978,0.010557,-0.004879,-0.004293,-0.004494,-0.003544,-0.000475,-0.002162,0.001881,-0.001521,0.017794,-0.001333,0.002951,0.004168,-0.001314,0.023261,0.011275,0.000338,0.002587,0.037109
38703,269022328.0,WELLS FARGO & CO NEW,-0.00071,-0.002862,0.027265,-0.012572,-0.003714,-0.012602,0.019774,0.002292,0.003869,0.015767,0.009831,-0.007344,-0.000516,0.002754,0.001888,0.002228,-0.011626,0.004325,-0.0031,0.031963,-0.017077,0.003066,-0.004755,-0.005289,-0.001544,0.008418,0.002555,-0.002549,0.001022,-0.000851,0.01039,-0.010958,-0.017726,-0.030887,-0.009311,-0.001446,0.010498,-0.007881,0.010291,-0.005182,0.010239,-0.010313,-0.003054,-0.005226,-0.003986,0.007093,-0.009572,-0.00547,-0.006967,-0.019202,-0.033321,0.02668,-0.005121,-0.00572,0.025887,-0.009346,0.012264,0.016962,-0.000367,-0.001834,-0.011021
