permno,mkt_cap,asset_name,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31
14593,849541945.84987,APPLE INC,-0.012719,0.00731,0.026114,0.010145,0.003214,0.00818,-0.002043,-0.003298,-0.004008,-0.015118,-0.01319,0.011947,-0.005552,-0.000999,0.01859,0.010512,5.7e-05,-0.005029,-0.005859,-0.020743,0.013984,-0.004655,-0.007308,-0.000942,-0.003714,0.001834,0.000295,0.019484,-0.005618,0.00332,-0.00029,0.010161,0.014083,-0.010656,-0.001089,0.003785,0.0,-0.02537,0.000176,0.002814,-0.010814,0.017905,-0.000174,0.004645,0.011385,-0.003714,-0.000115,-0.000229,0.00568,0.010326,-0.005082,0.016516,0.000893,-0.004463,-0.008181,0.000226,-0.015929,-0.017851,0.002338,-0.020698,-0.005894,0.002755
10107,731557332.9300001,MICROSOFT CORP,0.0,0.010459,0.001071,0.003922,-0.002368,0.003441,-0.005558,-0.002616,0.000715,0.00143,-0.007733,0.002651,-0.009615,0.001578,0.014419,-0.007286,0.001805,0.007326,0.012042,-0.018143,0.009959,0.001069,-0.03774,0.00629,0.014585,-0.003503,0.020245,0.012714,0.004107,-0.002688,-0.007733,0.025505,-0.005412,-0.006367,-0.003612,-0.000234,0.000117,-0.001286,0.00363,0.000117,-0.0021,0.004793,0.004654,0.008801,0.012398,0.00102,-0.00068,-0.004534,0.002961,0.017257,-0.013951,0.02026,-0.000444,-0.00111,0.017889,0.003166,-0.000871,0.005554,0.018737,-0.001488,-0.012564,0.024477
84788,702386010.0710701,AMAZON COM INC,-0.001448,-0.008571,0.015884,0.00815,0.00224,0.008645,-0.00331,-0.003348,0.003395,0.006793,-0.008928,0.009408,-0.006516,-0.00316,0.011702,0.014629,0.02581,0.008288,-0.001865,-0.027086,0.01333,-0.012237,-0.024433,0.00672,0.009443,0.006456,0.001905,0.005955,-0.003285,-0.000815,0.008702,0.004156,0.009702,-0.002688,-0.00822,-0.002429,-0.005448,0.00719,0.004674,0.003248,-0.014021,0.016709,0.012775,0.004476,0.016163,0.014425,0.004676,0.001301,0.017818,0.022339,-0.00026,-0.007556,-0.001297,0.000974,0.025282,0.026542,-0.003692,0.015057,0.01749,0.011148,0.014206,0.00909
13407,447773862.58,FACEBOOK INC,0.01444,-0.020475,0.0,0.006986,0.000444,-0.003828,-0.001448,-0.004685,0.001737,-0.003916,-0.000674,0.009216,-0.003285,-0.001452,0.017456,-0.005444,0.01056,0.001368,-0.003333,-0.039963,0.011706,-0.011739,-0.020731,0.007931,0.018689,0.023174,-0.006328,0.000223,-0.011617,0.007572,0.000505,0.010034,0.003552,-0.007245,-0.009025,-0.002473,-0.001409,-0.006828,0.009262,0.001689,-0.008206,0.028108,0.017914,-0.001841,0.013671,0.007653,-0.002178,-0.00016,-0.000373,-0.044736,-0.005464,-0.004428,0.012387,0.008287,0.022505,0.021471,-0.014787,0.004985,0.013442,-0.021158,0.00613,-0.001229
14542,409296468.36935997,ALPHABET INC,0.008715,7.8e-05,0.006728,-0.006373,0.007242,0.00631,-0.008261,-0.003093,-0.002257,0.000244,-0.004961,0.011353,-0.012988,-0.000697,0.015819,0.001421,0.004489,0.013069,-0.00645,-0.024585,-0.000245,-0.011004,-0.011374,0.006479,0.013162,0.012324,0.005936,0.003905,-0.000596,0.000125,0.008207,0.014335,0.012169,-0.005997,-0.005352,-0.001239,-0.0033,-0.003188,-0.006974,-0.001172,-0.00166,0.017775,0.016413,0.003621,0.014571,0.004273,-0.000614,-0.003299,0.002639,0.015142,-0.000446,0.009111,-0.001935,0.006833,0.016088,0.012251,-0.004898,0.005265,0.004674,-0.000221,-0.010114,0.005371
47896,401343206.42,JPMORGAN CHASE & CO,0.003081,0.006639,-0.001772,-0.006212,-0.020143,-0.011241,-0.000102,-0.001229,0.003589,-0.006029,0.009458,0.002852,-0.003351,0.008865,-0.000808,-0.002931,-0.003244,-0.003967,0.035025,0.023382,0.007616,0.002583,0.020613,-0.011501,-0.007473,-0.002954,0.012522,-0.002926,0.011646,-0.012541,-0.008056,0.014141,0.007726,-0.004207,-0.003474,0.015922,-0.003524,-0.004002,0.001869,0.005316,-0.007886,0.009445,0.001019,0.014251,-0.00642,0.001477,0.005069,0.011004,0.005351,0.01651,-0.00355,0.006413,0.00239,-0.002207,0.01168,-0.00105,0.012784,0.000259,0.005359,-0.001032,-0.00938,0.004865
22111,371250198.8,JOHNSON & JOHNSON,0.004089,-0.000357,0.001072,-0.002284,7.2e-05,0.01109,-0.006864,-0.005629,0.001433,-0.001932,-0.002796,-0.001654,-0.006265,-0.000507,0.002973,-0.00759,0.005244,0.006739,0.013903,-0.0015,-0.003433,0.004665,-0.00693,0.004748,0.009952,-0.007444,0.004143,0.003912,0.010344,0.002034,-0.008678,0.005718,-0.004633,-0.000141,-0.004373,-0.000708,-0.006664,-0.000214,0.003426,-7.1e-05,-0.005976,-0.003507,0.009553,-7.1e-05,0.008253,0.00127,0.015857,-0.001179,0.005696,0.006699,0.007547,0.000817,-0.000408,0.002995,0.005293,-0.042595,0.001692,0.0164,0.006441,-0.011354,-0.0087,-0.029769
11850,369899353.8,EXXON MOBIL CORP,0.006239,-0.004054,-0.00419,0.006853,-0.00203,-0.001316,0.00599,-0.003096,-0.000603,-0.007842,-0.012524,-0.008004,-0.003972,0.003863,0.003973,0.002844,0.003946,-0.003807,0.006904,0.007347,0.012398,0.002041,0.001318,-0.008137,-0.007359,0.003282,0.001333,0.004476,-0.003252,0.00435,-0.002647,0.001568,-0.001084,-0.006028,0.005216,0.011826,0.001431,0.000119,-0.000953,0.00143,-0.004523,0.016619,0.01964,0.001384,-0.000806,0.004496,-0.004246,-0.007952,0.009875,0.006787,-0.006284,0.011843,-0.006477,-0.003203,0.012622,0.000567,0.002605,-0.001807,0.007129,-0.011124,-0.013976,0.005992
90319,352884385.50521004,ALPHABET INC,0.009249,0.00036,0.006731,-0.006962,0.009313,0.005606,-0.009988,-0.003407,-0.002825,0.000423,-0.005021,0.011636,-0.011998,-0.001187,0.015116,0.001542,0.004373,0.014661,-0.008134,-0.024368,-0.001166,-0.010713,-0.012877,0.007639,0.012868,0.011475,0.004605,0.002468,-0.003042,0.002498,0.005783,0.01374,0.012211,-0.004894,-0.00576,-0.002524,-0.001858,-0.002816,-0.005301,-0.004009,-0.002415,0.018806,0.017061,0.003884,0.01326,0.003531,-0.001274,-0.002381,0.001721,0.016726,4.4e-05,0.007429,-0.002748,0.006629,0.018067,0.010317,-0.004149,0.009263,0.004585,-0.000909,-0.007678,0.004119
59408,329193664.0,BANK OF AMERICA CORP,0.005111,0.01235,-0.001794,-0.002516,-0.020541,-0.014349,-0.011198,0.000755,-0.004149,-0.006061,0.02096,-0.00112,-0.005232,0.004508,-0.000374,-0.002619,-0.002626,0.0,0.039489,0.023155,0.000354,-0.002485,0.034164,-0.004473,-0.010024,0.004888,0.009381,-0.003787,0.013131,-0.016371,-0.003814,0.01079,0.015152,-0.001018,0.001019,0.011533,0.002012,-0.003347,-0.001679,0.002355,-0.009396,0.012873,-0.003344,0.013087,0.004637,-0.006924,0.00498,0.00925,0.003601,0.017286,0.001603,-0.001921,0.009622,0.007624,0.006936,-0.000626,0.005326,0.0,0.003428,0.002484,-0.012392,0.003764
