permno,mkt_cap,asset_name,2018-08-01,2018-08-02,2018-08-03,2018-08-06,2018-08-07,2018-08-08,2018-08-09,2018-08-10,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-27,2018-08-28,2018-08-29,2018-08-30,2018-08-31,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-24,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31
14593,1038577806.2800001,APPLE INC,0.05891,0.029231,0.002893,0.005193,-0.009375,0.000676,0.007865,-0.002968,0.006457,0.004213,0.002336,0.01465,0.01997,-0.009744,-0.001949,4.7e-05,0.002046,0.003109,0.008235,0.008076,0.014929,0.009194,0.011554,0.003207,-0.006525,-0.016617,-0.008068,-0.013421,0.025283,-0.012419,0.024155,-0.011351,-0.026626,0.001652,0.000596,0.007602,-0.010771,0.01438,0.006341,-0.007966,0.020552,0.003512,0.006733,0.008889,0.012169,-0.017581,-0.016229,-0.002318,0.013854,-0.046326,-0.008828,0.035719,-0.021386,0.022037,-0.004321,-0.023374,0.01523,0.00611,0.009427,-0.034302,0.021898,-0.015924,-0.01877,0.004994,0.026067
10107,819896951.39,MICROSOFT CORP,0.001885,0.012138,0.004369,0.000833,0.006936,0.005603,0.001644,-0.006109,-0.007248,0.012476,-0.013509,-0.000186,-0.000557,-0.0066,-0.008328,0.010191,0.00467,0.00781,0.01107,0.006022,0.015962,-0.000625,0.003394,-0.005519,-0.028825,0.002304,-0.004874,0.010812,0.017005,0.004225,0.010742,0.004074,-0.01085,0.009542,-0.013338,0.016741,0.006076,0.003588,-0.001919,-0.004107,0.003773,-0.00035,0.010842,-0.003979,0.000174,-0.020665,-0.005852,-0.011415,0.01272,-0.054338,-0.002355,0.034558,-0.017979,0.031599,-0.002613,-0.019962,0.001475,0.008927,-0.013956,-0.053469,0.058444,-0.012373,-0.029076,-0.001155,0.029692
84788,781377356.57969,AMAZON COM INC,0.0111,0.020677,-0.006019,0.013415,0.007972,0.012908,0.006361,-0.006437,0.005248,0.012367,-0.01929,0.002072,-0.002279,-0.002927,0.003575,0.011405,-0.00105,0.001309,0.011698,0.002666,0.033775,0.002142,0.005159,0.013315,-0.021912,-0.018302,-0.003186,-0.00669,0.024827,0.001434,-6.5e-05,-0.00989,-0.03155,0.017306,-0.007537,0.009281,-0.015065,0.010104,0.020777,0.000152,0.019308,-0.004958,0.000679,-0.016489,-0.00941,-0.022194,-0.010354,-0.013352,0.003164,-0.061524,-0.020447,0.040277,-0.015465,0.03351,0.006467,-0.033307,-0.003778,0.014325,-0.011513,-0.059083,0.070887,-0.078197,-0.063264,-0.005497,0.044164
14542,376454950.5423,ALPHABET INC,0.002259,0.005033,-0.00199,0.000866,0.014248,0.002729,0.002802,-0.009199,-0.002101,0.005741,-0.022317,-0.006497,-0.004584,0.005671,-0.005092,0.004752,-0.001615,0.012668,0.017343,-0.008592,0.014742,-0.008149,-0.016891,-0.017395,-0.008789,-0.012676,-0.005643,-0.000163,0.010922,-0.01235,0.010758,-0.002382,-0.014055,0.004472,0.0085,0.013475,-0.017508,0.006243,0.009613,-0.003512,0.011987,-0.000979,0.001542,0.004016,0.002366,-0.028896,-0.009279,-0.007241,-0.008834,-0.050579,-0.001757,0.028499,-0.016062,0.026578,-0.004985,-0.024846,0.007804,0.004287,0.002297,-0.048003,0.042695,-0.021998,-0.047962,0.015812,0.039143
22111,375450127.03978,JOHNSON & JOHNSON,0.000905,-0.01048,0.005333,0.000531,-0.004242,-0.002206,0.000229,-0.00343,-0.004054,-0.005529,0.007181,0.015717,0.015021,0.017922,-0.011178,-0.005467,0.003714,0.006217,-0.000956,-0.004447,0.00402,0.000667,-0.001927,-0.007202,0.016004,0.007434,0.003288,-0.000801,0.009474,0.006137,0.003803,-0.002859,0.003369,0.004144,-0.000569,0.010822,0.006339,-0.016867,-0.013028,-0.003462,0.000434,-0.000362,0.011001,0.005655,-0.010322,0.002302,-0.001794,0.002085,-0.001363,-0.01056,-0.028244,0.000224,0.000598,0.019485,0.021236,0.000287,-0.003226,-0.002661,0.001803,-0.010509,0.007274,-0.010833,0.004235,0.023264,-0.0054
47896,366403573.68,JPMORGAN CHASE & CO,0.006177,0.004237,0.008093,0.000256,0.003671,0.002042,-0.007726,-0.009839,-0.015899,0.006673,-0.008286,0.009411,0.0,-0.001307,0.006107,-0.003035,-0.002087,-0.000436,0.017701,-0.004884,-0.003272,-0.004924,-0.005296,0.004975,-0.004863,-0.004276,0.001928,-0.005336,0.006332,-0.011798,0.003891,-0.000176,0.002996,0.004041,0.029046,0.008587,-0.006575,-0.009588,-0.002827,-0.011771,-0.004347,-0.01467,0.005849,0.004141,0.009388,0.008953,-0.005639,0.006107,-0.006937,-0.026633,-0.029963,-0.010913,-0.005704,0.021441,0.01114,-0.015843,-0.001665,-0.014364,-0.010436,-0.018622,0.0152,-0.013733,0.013827,0.017644,0.021743
13407,364670290.11534,FACEBOOK INC,-0.005389,0.027498,0.007995,0.044493,-0.010124,0.007453,-0.011286,-0.015457,-0.001165,0.005887,-0.008724,-0.026904,-0.005152,-0.00748,0.000696,0.005909,-0.004262,0.010093,0.016118,-0.006762,-0.002042,0.009892,-0.010752,-0.026006,-0.023253,-0.027814,0.003138,0.006992,0.01072,-0.023744,-0.003951,0.005949,-0.01072,-0.001744,0.017218,0.018153,-0.018612,0.015221,-0.003023,0.01237,0.011321,-0.025942,-0.012283,-0.019146,0.019456,-0.02204,-0.009569,-0.000508,0.004134,-0.041292,0.013014,0.002543,-0.001431,0.034263,0.004031,-0.028227,-0.005616,0.004739,-0.00252,-0.054084,0.033621,-0.036966,-0.022563,0.029066,0.038093
11850,337349980.8,EXXON MOBIL CORP,-0.013741,-0.005971,0.003629,-0.000249,0.013594,-0.006644,-0.005079,-0.000996,-0.010829,-0.003182,-0.017495,0.013777,0.003333,0.007028,0.000254,0.014335,-0.011006,0.006829,0.009797,-0.001493,0.007225,-0.004328,-0.004223,0.001497,0.013327,-0.011062,0.017027,-0.001466,0.014074,0.003258,-0.009744,0.007289,0.005909,0.002638,0.011957,0.002245,0.004126,0.01679,-0.001155,-0.008324,-0.000117,-0.008744,0.009292,0.007575,-0.003585,-0.006616,-0.002804,0.009257,0.004412,-0.023003,-0.034548,-0.002696,-0.006881,0.004702,0.003695,0.004294,0.001466,-0.010004,-0.016143,-0.027806,0.008889,-0.00996,-0.006191,0.022453,0.011424
90319,326051781.22116,ALPHABET INC,0.004702,0.006602,-0.002393,-0.000396,0.014681,0.004372,0.002482,-0.009451,-0.00309,0.007608,-0.020602,-0.006622,-0.006707,0.005017,-0.003715,0.003565,-0.000483,0.012767,0.015783,-0.008286,0.015082,-0.008073,-0.018048,-0.016634,-0.01008,-0.012601,-0.005405,-0.002148,0.012706,-0.015454,0.008996,-0.003519,-0.015408,0.006277,0.006135,0.014733,-0.016323,0.006348,0.012149,0.000142,0.011138,-0.000232,0.001201,-0.000736,0.003221,-0.028443,-0.00785,-0.010198,-0.0093,-0.04629,-0.0013,0.027321,-0.016153,0.027793,-0.004845,-0.026322,0.006622,0.005601,0.003185,-0.051834,0.043959,-0.017978,-0.045232,0.014284,0.039133
55976,293693545.8,WALMART INC,-0.011095,0.005893,0.009464,0.000781,0.001115,0.003119,-0.005775,0.013145,-0.005988,0.013498,-0.006934,0.093327,-0.008009,-0.018907,0.000833,-0.004267,-0.005122,-0.002417,-0.004318,0.016184,-0.004476,0.00481,-0.002497,-0.005216,0.013213,-0.00176,-0.006428,0.011166,-0.002683,-0.006933,-0.008857,-0.005572,0.002432,0.006433,-0.001991,0.005355,0.001567,-0.010219,0.001896,-0.005363,-0.004863,-0.002337,0.005218,0.007945,-0.011351,0.001488,-0.009553,0.01479,0.02524,-0.013597,-0.019215,0.009476,-0.010442,0.021211,0.007828,-0.004039,0.01019,-0.000103,0.006794,-0.002454,0.016605,-0.00242,0.008692,0.026253,-0.020894
83443,280379840.48,BERKSHIRE HATHAWAY INC DEL,-0.000101,0.001061,0.011007,0.029065,0.012909,0.001054,0.000766,-0.011813,-0.007066,0.003217,-0.006462,0.014963,0.002794,0.001537,0.000144,-0.005564,-0.000434,0.003571,0.012165,0.001235,0.002372,-0.007195,-0.004911,0.006372,0.010521,0.002921,0.005449,0.004999,-4.6e-05,-0.002371,0.001398,0.006887,-0.00037,0.009293,0.012139,0.003304,-0.005233,-0.010838,-0.000367,-0.008897,0.00273,-0.011952,0.003129,0.002375,0.005156,0.011876,0.002238,0.011847,0.007656,-0.04764,-0.037119,0.007846,-0.008559,0.023411,0.003288,-0.008645,0.005414,-0.017347,-0.010621,-0.020539,0.01086,-0.017279,0.007809,0.016547,0.009491
59408,269890417.5,BANK OF AMERICA CORP,0.011982,0.00096,0.007353,0.000317,-0.000317,0.009203,-0.006289,-0.012975,-0.022764,0.010171,-0.013966,0.011858,0.000651,0.004229,0.004859,-0.00129,-0.004519,0.001621,0.013597,-0.001278,-0.004157,-0.004175,-0.00258,0.00679,0.001285,-0.005773,0.000324,-0.001296,0.000973,-0.013614,-0.00953,0.007631,-0.002963,-0.002312,0.02615,0.006129,-0.00513,-0.009346,-0.002277,-0.017607,-0.006306,-0.016032,0.006449,-0.002361,0.014199,0.014333,-0.006572,0.001323,-0.00958,-0.024683,-0.030096,0.003526,-0.018974,0.021848,0.012969,-0.022491,0.002478,-0.033192,-0.013148,-0.030718,0.015273,-0.007522,0.008337,0.006389,0.026886
21936,252422456.60000002,PFIZER INC,0.008515,-0.006953,0.022446,0.012334,-0.004873,0.013957,-0.009901,-0.001707,-0.002932,-0.00245,0.011054,0.006317,0.016176,0.005702,-0.004016,-0.002135,0.00309,0.004739,-0.01934,-0.001924,0.0,0.0,0.000482,-0.003613,0.011603,-0.001673,0.010053,-0.003318,0.005944,0.002363,0.010375,0.002567,0.001164,0.011625,-0.005746,0.011327,0.007086,-0.002951,-0.003187,-0.002512,0.005037,0.003872,0.004538,-0.001129,0.013342,-0.002455,0.004698,0.008239,0.004196,-0.021113,-0.038194,0.022658,-0.015075,0.018785,0.014569,-0.012789,0.011364,-0.002921,-0.006085,-0.036735,0.021893,-0.018659,0.014789,-0.007865,0.003964
92655,251542328.17473,UNITEDHEALTH GROUP INC,0.000592,0.010696,0.004452,-0.001788,0.003466,0.004502,0.010742,-0.004702,0.002113,0.00985,-0.010893,0.009555,-0.002927,0.000267,-0.002706,-0.00363,0.002608,0.01094,0.010595,0.005354,0.001825,-0.002268,0.000261,0.000186,-0.00324,0.010873,-0.005081,-0.03187,0.005044,0.006244,0.010736,-0.000678,-0.005428,-0.002198,0.007748,0.003995,0.001051,0.002587,-0.0144,-0.002277,0.006618,0.005252,0.011502,0.005686,0.000998,-0.009524,0.00328,-0.000706,0.004089,-0.026026,-0.022655,0.009684,0.002465,0.047339,-0.019335,-0.001833,-0.005659,-0.011723,0.010183,-0.032243,0.030899,-0.022934,-0.00643,0.006861,0.011886
38703,250798468.0,WELLS FARGO & CO NEW,0.006284,0.011102,0.009264,0.00102,-0.001189,0.00629,-0.005406,-0.006674,-0.00758,0.007985,-0.001378,0.011554,0.003409,0.002888,-0.001186,0.003562,-0.009295,0.001194,0.006986,-0.000508,-0.001862,-0.00848,0.000342,0.005472,0.002551,-0.017303,-0.009149,0.001045,-0.001392,-0.025096,-0.016804,-0.004909,-0.007674,0.003498,0.013211,0.005976,-0.010081,-0.013275,-0.000553,-0.019731,-0.006396,-0.004922,-0.005898,-0.002297,0.009975,0.016334,-0.00598,0.009024,-0.002609,-0.020549,-0.018882,0.013025,0.021685,0.009204,0.013586,-0.024973,-0.003955,-0.023445,-0.001743,-0.026571,0.033274,-0.011762,0.019122,0.008807,0.010249
92611,244912323.06658,VISA INC,0.011043,0.004846,0.006479,-0.000787,0.00408,0.002851,-0.004763,-0.002,0.003435,0.003923,-0.005968,0.006718,0.004835,-0.002759,-0.006386,0.007855,0.006802,0.014778,0.008322,-0.001375,0.012603,-0.001972,0.001022,0.006195,-0.034709,0.012827,-0.008997,0.006145,0.009786,0.007423,0.007232,0.001422,-0.011228,0.009919,-0.001423,0.012346,0.005427,-0.006265,0.003152,-0.002072,0.005024,0.000467,0.004664,-0.007428,-0.002004,-0.017473,-0.009539,-0.023872,0.00296,-0.047713,-0.013208,0.047334,-0.020206,0.032865,0.005009,-0.022183,0.005672,0.003998,-0.010808,-0.034934,0.046626,-0.019784,-0.024757,-0.011688,0.03834
65875,235896736.35000002,VERIZON COMMUNICATIONS INC,0.001743,0.004833,0.005579,0.004018,-0.000381,0.004575,0.005882,-0.010187,-0.004765,0.012447,0.006998,0.019346,0.009582,-0.002555,0.004758,-0.014023,0.002586,0.009212,0.001278,-0.003646,-0.001464,0.003299,-0.006941,-0.021703,0.011844,0.008733,-0.005342,0.002222,0.011087,0.004569,-0.000546,-0.007099,0.00275,-0.005667,-0.016363,0.008411,0.008712,-0.016171,-0.009152,0.001697,0.008468,-0.003732,0.008429,0.010773,-0.002389,0.013446,-0.001454,0.001456,0.010405,-0.012002,-0.018406,0.0075,-0.00242,0.001866,0.004842,0.012787,0.004575,0.001457,0.04056,0.003671,-0.017241,-0.016303,0.017474,0.030099,-0.018735
17778,226163175.0,BERKSHIRE HATHAWAY INC DEL,-0.001161,-0.000133,0.011658,0.023417,0.012169,-0.000951,-0.000634,-0.009838,-0.005673,0.001886,-0.005679,0.012781,0.001486,0.001898,-0.001067,-0.004223,-0.001336,0.002781,0.010708,0.002922,0.001201,-0.001591,-0.003785,0.004592,0.008416,0.000359,0.005203,0.002673,0.002114,-0.00279,-0.002373,0.010648,-0.001305,0.008815,0.013939,0.004262,-0.006235,-0.010551,0.002013,-0.012828,0.001372,-0.014569,0.006031,0.003013,0.003029,0.012418,0.00488,0.011645,0.006879,-0.049251,-0.034785,0.006494,-0.006452,0.021916,0.00143,-0.006345,0.004077,-0.017162,-0.012877,-0.016732,0.007453,-0.017953,0.010765,0.018597,0.006957
