permno,mkt_cap,asset_name,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,2019-07-30,2019-07-31,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-30
10107,1061355020.0,MICROSOFT CORP,0.01284,0.006633,0.006443,-0.00291,-0.00073,-0.003651,0.010186,0.00399,0.003613,0.0,-0.013103,-0.005909,0.001101,0.001466,0.013248,0.006213,0.010266,-0.003766,0.008203,-0.002193,-0.004822,-0.02907,0.013136,-0.008402,-0.034259,0.018758,0.00438,0.026685,-0.008496,-0.013942,0.020694,-0.030015,-0.002239,0.018327,0.016749,-0.008309,0.011147,-0.007277,-0.031862,0.015443,0.002141,-0.001326,0.018885,-0.001882,-0.013202,0.011688,0.017583,-0.006783,-0.011359,-0.010471,0.000294,0.010285,-0.001454,-0.007209,0.007775,0.008225,0.018409,-0.011555,-0.002151,-0.012649,0.014413,0.001292,-0.012971,0.009439
14593,995151566.92,APPLE INC,0.018341,0.005855,0.008287,-0.000881,-0.020614,0.006099,0.009889,-0.007282,0.007683,0.009395,-0.00346,-0.005623,0.01136,-0.014928,0.022854,0.007818,-0.000814,-0.007907,0.003478,0.009339,-0.004292,0.020404,-0.021639,-0.021158,-0.052348,0.01893,0.010355,0.022056,-0.008209,-0.002537,0.042348,-0.029765,-0.004981,0.023595,0.018644,4.8e-05,0.010839,-0.000846,-0.046221,0.018999,-0.011284,0.00671,0.016932,-0.001292,-0.014564,0.016967,0.019552,-9.4e-05,0.004267,0.011813,0.031795,-0.002259,-0.019432,0.005257,0.003638,0.009379,-0.008125,-0.014618,0.004547,-0.004755,0.01539,-0.005158,-0.004866,0.023535
84788,859275464.85,AMAZON COM INC,0.015082,0.006305,0.002425,0.002017,0.004843,0.018429,0.014641,-0.0081,0.004962,0.004968,-0.005487,-0.008891,-0.007093,-0.006765,0.010746,0.004462,0.003169,-0.01349,-0.015589,-0.015749,-0.007279,-0.016724,-0.006139,-0.017291,-0.031872,0.01286,0.003116,0.02202,-0.013809,-0.012536,0.022085,-0.033645,0.007465,0.009262,0.013138,-0.008116,0.012302,-0.009838,-0.031004,0.011002,-0.00398,0.001374,0.012555,-0.005659,0.007628,0.006023,0.02227,-0.003917,-0.001178,-0.005897,0.00134,0.011278,-0.002284,-0.017126,0.008137,-0.002793,0.002223,-0.01501,-0.004938,-0.024472,0.015342,-0.016111,-0.008271,0.006062
13407,428816640.00000006,FACEBOOK INC,0.0,0.010363,0.011282,-0.004057,-0.003259,0.017624,0.01767,-0.007399,0.018089,-0.004686,-0.000343,-0.010008,-0.005055,-0.012053,0.019964,0.000198,0.011366,-0.0193,-0.004783,-0.019074,0.005614,-0.014261,-0.007723,-0.01925,-0.038567,0.015297,0.003469,0.027059,-0.012148,-0.013202,0.016615,-0.046378,0.016026,0.006079,0.013446,-0.012677,-0.001414,-0.008227,-0.023566,0.014684,0.005212,0.002537,0.020962,0.000539,-0.017666,0.026043,0.020092,-0.017863,0.006774,-0.013721,0.012462,-0.005411,-0.001494,-0.005182,0.009988,0.000319,0.01063,-0.001104,-0.016374,-0.029654,0.008385,-0.014716,-0.016712,0.005534
14542,420279506.0,ALPHABET INC,0.015764,0.012114,0.009296,0.008925,-0.013468,0.007596,0.013913,0.003271,0.000603,0.004751,0.002817,-0.006267,-1.7e-05,-0.014158,0.007052,0.007152,-0.007328,-0.005001,0.104485,-0.008797,-0.011514,-0.006905,-0.006304,-0.012423,-0.0349,0.0153,0.003453,0.026244,-0.013936,-0.011195,0.019205,-0.027546,0.002551,0.008858,0.017706,-0.01315,0.007238,-0.001444,-0.032147,0.015287,-0.000898,0.002723,0.018642,-0.003982,-0.01659,0.011144,0.025368,-0.005324,-0.000432,0.00132,0.01175,0.011539,0.004302,-0.006664,-0.001746,0.002652,0.005112,-0.007088,0.003334,-0.012374,0.022777,-0.004115,-0.013131,-0.004971
47896,376312009.65,JPMORGAN CHASE & CO,0.016816,0.001056,-0.001582,0.005939,-0.005463,0.004253,-0.002911,0.009556,0.010517,-0.012142,0.010711,-0.009816,0.005965,-0.009854,0.006429,0.01829,0.004039,-0.009587,0.004408,-0.003184,-0.002244,0.003547,-0.026379,-8.9e-05,-0.029753,0.007849,-0.021733,0.01694,-0.001092,-0.018772,0.015416,-0.041522,0.003817,0.023954,0.009005,-0.012697,0.002796,0.010315,-0.024835,0.008017,-0.010574,0.010025,0.022659,0.00586,-0.011833,0.012067,0.022754,0.002136,0.024776,0.012738,0.002738,0.006144,0.019676,-0.0089,-0.004951,0.010036,-0.003173,-0.004021,-0.000168,-0.013038,0.00571,-0.00822,0.005896,-0.000255
90319,365882854.35624003,ALPHABET INC,0.015885,0.011455,0.009339,0.008615,-0.014016,0.006716,0.014783,0.002778,0.001101,0.004514,0.002564,-0.005826,0.000436,-0.013676,0.006769,0.00776,-0.007247,-0.003325,0.096202,-0.002714,-0.011145,-0.007981,-0.00527,-0.012758,-0.034748,0.014142,0.004124,0.02575,-0.014334,-0.012112,0.018927,-0.027141,0.004355,0.008458,0.018004,-0.014086,0.006802,-5e-05,-0.031842,0.015257,-0.000307,0.002503,0.017457,-0.003107,-0.017622,0.010876,0.025307,-0.004842,-0.00087,0.000357,0.01186,0.012271,0.004097,-0.006774,-0.001421,0.002252,0.004949,-0.007193,0.003944,-0.01325,0.022662,-0.002929,-0.013153,-0.003923
22111,341455297.08,JOHNSON & JOHNSON,0.000574,0.004808,0.015068,-0.011045,0.002846,0.003121,-0.001414,-0.00779,-0.041467,0.003053,-0.016406,-0.00483,0.001593,-0.013326,-0.012816,0.001555,0.007296,0.010325,-0.002974,0.017517,-0.007067,-0.014082,0.000537,0.005987,-0.006943,0.004687,-0.004282,0.011289,0.002734,-0.000833,0.011294,-0.023685,0.00215,0.006282,0.006775,-0.012476,0.007121,-0.001977,-0.026967,0.007986,0.014398,-0.007405,-0.003419,0.000936,0.00296,0.000932,-0.002173,-0.002878,-0.009828,0.020481,0.012505,-0.005642,0.002683,-0.009482,0.001004,0.005707,-0.0023,0.011836,0.000684,-0.001442,-0.004257,-0.016337,-0.00194,0.006065
55976,337559625.12,WALMART INC,0.001177,0.008859,0.006452,-0.003027,0.006608,0.001419,0.000886,0.00832,0.005969,0.003316,-0.001913,-0.001394,0.001047,-0.007148,-0.009482,-0.006471,-0.000803,0.001964,0.007129,-0.006636,-0.00187,-0.014992,-0.00906,0.000183,-0.032724,0.013703,0.00867,0.007856,-0.011426,-0.020134,0.021785,-0.011265,0.061111,0.002662,0.007257,-0.015464,-0.000268,-0.000982,-0.009651,0.010466,0.00384,0.002669,0.012065,0.001578,0.003326,0.011078,-0.004055,-0.00615,0.013946,-0.002407,-0.000259,0.007757,0.004362,-0.015839,0.008134,0.005579,-0.000427,-0.00111,0.005471,0.006632,0.000591,-0.001435,0.001268,0.001942
18163,311277492.53999996,PROCTER & GAMBLE CO,0.007661,0.00896,0.023323,-0.008152,0.007954,-0.009996,0.00744,0.005538,0.005333,0.004261,0.00355,0.000431,0.002121,-0.003725,0.002522,-0.012576,-0.010979,0.00151,0.017381,0.011069,0.038017,-0.019683,-0.011098,-0.002484,-0.028856,0.010612,0.010851,0.016621,-0.00562,-0.006422,0.010515,-0.012452,0.013818,0.015248,0.008894,-0.011144,0.002523,0.001846,-0.017585,0.017047,0.010308,0.007051,-0.001812,-0.00784,0.009399,0.015244,-0.003652,0.000896,-0.005697,-0.018744,0.011595,0.012369,-0.005294,-0.019407,0.011775,0.002063,0.004036,0.002789,0.008017,0.003165,-0.004773,0.010486,0.002092,-0.001525
