permno,mkt_cap,asset_name,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
14593,2193756138.13631,APPLE INC,0.01652,0.006337,-0.007778,0.025758,-0.003093,0.001097,-0.006574,-0.004558,-0.00192,0.001776,-0.016104,-0.017644,-0.008636,0.001233,-0.029799,-0.001111,-0.004052,-0.034783,0.002232,0.053851,-0.020894,-0.024457,-0.015812,0.010738,-0.041674,0.040607,-0.009126,0.016503,-0.007625,0.024457,0.012743,-0.006451,-0.033905,-0.00448,0.028336,-0.006889,-0.019994,0.004164,0.005141,0.001485,-0.012275,0.018766,0.006959,0.023577,0.002462,0.01339,0.019234,0.020213,-0.013196,0.024307,-0.017853,0.018708,-0.002528,0.005069,-0.01283,0.00293,-0.011685,0.018039,0.002978,-0.00245,-0.006027,-0.000749,-0.015133
10107,1899312508.18425,MICROSOFT CORP,0.033152,-0.000584,0.014571,-0.004074,0.000785,0.001115,0.005362,-0.003897,0.006878,0.002045,-0.005266,0.00435,-0.001679,-0.011567,-0.026808,-0.005288,0.005487,-0.023705,0.014804,0.019623,-0.012957,-0.026981,-0.003647,0.021479,-0.018178,0.028102,-0.005817,0.020265,-0.00582,-0.003987,0.012351,-0.002819,-0.026662,-0.001604,0.024485,0.006738,-0.008923,-0.013251,0.017819,-0.005244,-0.014411,0.016908,0.027909,0.027729,-0.004858,0.00823,0.013405,0.010267,0.000235,0.010082,-0.011219,0.015298,0.004778,-0.00767,-0.001855,0.008983,-0.013086,0.015476,0.001532,0.001606,-0.028286,-0.008053,-0.001307
84788,1748703083.7340798,AMAZON COM INC,0.04263,0.011104,-0.019962,0.005576,0.006349,-0.008714,-0.005399,-0.005573,-0.007439,0.004776,-0.002673,0.012142,0.005921,-0.023535,-0.021281,0.004326,-0.010947,-0.0324,0.0117,0.017204,-0.016404,-0.028932,-0.009128,0.007687,-0.016168,0.037568,-0.001701,0.018299,-0.00774,-0.002528,0.003303,0.014189,-0.034359,0.015512,0.011678,0.00856,-0.016073,-0.01322,0.001894,0.007765,-0.006646,0.012696,0.021628,0.020794,-0.000902,0.017237,0.006071,0.022096,0.002132,0.006099,-0.019706,0.013828,0.006022,-0.008069,-0.011068,0.008196,-0.015758,0.009622,0.02039,0.002473,0.012018,0.003704,-0.001121
14542,779866668.4296,ALPHABET INC,0.03574,0.013759,0.073961,-0.00372,0.017276,-0.002426,-0.004491,0.005697,0.000243,0.003922,0.008455,0.003021,-0.00522,-0.007586,-0.017257,0.002896,0.011739,-0.030456,0.002708,0.021921,-0.002724,-0.023668,0.011043,0.029013,-0.040014,0.014095,0.001135,0.02907,-0.024991,0.002216,0.012596,-0.000688,-0.026235,0.003428,-0.002256,0.007049,-0.003848,-0.000342,-0.004309,0.010022,-0.000199,0.006368,0.033414,0.041071,-0.000359,0.011206,0.007005,0.009023,-0.013601,0.005535,-0.005482,0.018547,0.000479,0.002019,-0.003809,-0.000148,-0.011063,0.020891,0.004941,-0.008432,0.03155,0.021001,-0.008136
13407,778906934.79953,FACEBOOK INC,0.014245,0.01935,-0.00161,-0.0006,0.006042,-0.00567,0.010766,0.008981,-0.005444,0.000407,0.012828,-0.00146,-0.015279,-0.029066,-0.004703,0.021223,-0.005811,-0.036397,0.011504,0.028298,-0.02231,-0.013861,0.008731,0.025772,-0.033941,0.040852,-0.003161,0.0339,-0.020009,0.019933,0.020201,0.016936,-0.018978,0.041239,0.011823,-0.009913,-0.029212,-0.012051,0.015355,0.02756,-0.009697,0.022674,0.014022,0.03432,-0.008579,0.022301,-0.000224,-0.001789,-0.002944,-0.005714,-0.022404,0.016512,-0.005328,-0.012868,0.001357,-0.003899,-0.01642,0.015547,0.006343,0.001749,0.011628,0.072973,-0.013444
90319,707808064.5,ALPHABET INC,0.035959,0.013761,0.072825,-0.00255,0.017141,-0.002063,-0.00438,0.005344,0.001088,0.003007,0.00748,0.003752,-0.006046,-0.008073,-0.016541,0.002853,0.011499,-0.032565,0.002956,0.023616,-0.002503,-0.025706,0.011196,0.031043,-0.042712,0.016369,-0.002044,0.031603,-0.024061,0.002166,0.014335,-0.000801,-0.029238,0.00278,0.00184,0.00524,-0.004311,-3.4e-05,-0.003803,0.010401,0.000332,0.007843,0.032611,0.041873,-0.004371,0.013475,0.005091,0.008994,-0.011472,0.00437,-0.005554,0.019332,-0.001094,0.003071,-0.004695,-0.00029,-0.011337,0.021048,0.004348,-0.008204,0.029708,0.014294,-0.016408
93436,683424835.2,TESLA INC,0.058322,0.039271,-0.020738,-0.005499,0.002635,0.01313,-0.016168,-0.052551,0.008499,0.005495,-0.024384,0.002424,-0.013494,-0.007722,-0.085499,-0.021917,0.061788,-0.080591,-0.00985,0.063553,-0.044528,-0.048424,-0.048622,-0.037799,-0.05845,0.196412,-0.008195,0.047211,-0.008391,0.020484,-0.043874,0.036831,-0.069321,0.002618,0.023104,-0.011702,-0.048161,0.016057,-0.033854,-0.011993,0.039801,0.050832,-0.009252,0.044277,0.000825,-0.029858,0.019122,-0.009915,0.036867,0.085957,-0.039472,0.009041,0.001259,-0.033997,0.006101,0.034952,-0.032831,0.013492,0.012065,-0.045327,-0.014672,-0.025058,0.047917
47896,466368531.48,JPMORGAN CHASE & CO,0.007383,0.030782,0.011451,0.023013,-0.001953,0.015655,-0.003996,0.000573,-0.002792,0.014217,0.024071,0.003111,0.003377,0.016691,0.009391,0.008032,0.017595,-0.013572,-0.026525,0.022627,-0.003256,0.019332,-0.015369,0.002325,0.013253,-0.007063,0.021735,-0.005221,0.011858,-0.004995,-0.011971,0.010293,0.016507,-0.015921,-0.026879,-0.010002,0.007761,0.012814,0.01665,-0.015539,0.011789,-0.014565,0.009722,0.00527,-0.00703,0.015668,0.001226,0.007478,-0.002112,-0.011927,-0.01869,0.006349,0.007426,-0.00424,-0.022142,0.008508,-0.021058,0.019136,0.002464,0.004583,0.006479,0.019444,-0.008892
22111,428420410.10999995,JOHNSON & JOHNSON,-0.002575,-0.008973,-0.004651,0.009284,0.015186,0.002858,0.008186,0.003248,-0.004496,0.003131,-0.009065,0.003574,0.000483,-0.016653,-0.000614,-0.008834,0.013401,0.001046,-0.026419,0.005427,-0.001883,-0.017608,-0.020164,0.019795,0.008328,0.001906,0.009195,-6.3e-05,0.002891,0.005138,0.005922,-0.003718,-0.001866,-0.00268,0.002874,-0.000935,0.009729,0.000371,0.018275,0.00673,-0.006203,-0.004,-0.009249,0.003685,-0.000245,0.001346,-0.003912,-0.010554,0.002419,-0.013363,0.002759,0.002939,0.011534,0.002774,0.023296,0.000661,-0.008464,0.002058,-0.008458,-0.005728,-0.007354,0.013705,-0.008953
92611,395138209.36,VISA INC,0.026442,0.021426,-0.006169,0.039184,-0.002294,-0.009005,-0.001788,-0.000387,0.021992,-0.003323,-0.009811,-0.001876,0.008867,-0.022068,0.017535,0.018193,0.03451,-0.025885,-0.006363,0.019963,-0.00397,-0.004264,-0.015592,0.018487,0.022562,0.000409,0.012752,0.013353,-0.007915,-0.004858,0.006405,-0.007477,-0.010582,-0.062358,0.005317,0.000721,-0.000384,-0.000481,0.026735,0.00459,-0.012167,-0.000802,0.024229,0.010053,-0.00178,0.002836,0.006522,0.008247,-0.004719,-0.002032,0.004343,0.019371,0.000575,-0.002738,-0.011117,0.018676,0.000528,0.010678,0.001478,-0.001867,0.015397,0.014607,-0.013932
